attendee,mail,org,rsvp_date
Leo Marchetti,leo.marchetti@sandboxaq.com,People,1 Sep 2026
Marcus Ellison,marcus.ellison@sandboxaq.com,Engineering,28 Aug 2026
Owen Fitzgerald,owen.fitzgerald@sandboxaq.com,Finance,2 Sep 2026
Abigail Foss,abigail.foss@sandboxaq.com,Marketing,1 Sep 2026
Derek Holloway,derek.holloway@samdboxaq.com,Engineering,28 Aug 2026
D. Holloway,derek.holloway@samdboxaq.com ,Engineering,29 Aug 2026
I. Ng,isabelle.ng@samdboxaq.com,Product,1 Sep 2026
Celine Dubois,celine.dubois@sandboxaq.com,,3 Sep 2026
Ben Torres,benjamin.torres@sandboxaq.com,Sales,30 Aug 2026
Priya Nandakumar,priya.nandakumar@sandboxaq.com,Support,2 Sep 2026
Bianca Ferrara,bianca.ferrara@sandboxaq.com,People,4 Sep 2026
Fiona Mackenzie,fiona.mackenzie@sandboxaq.com,,2 Sep 2026
Kwame Mensah,kwame.mensah@sandboxaq.com,Sales,4 Sep 2026
Alexandra Price,alexandra.price@sandboxaq.com,Marketing,3 Sep 2026
Tariq Aziz,tariq.aziz@sandboxaq.com,Engineering,3 Sep 2026
Helena Brandt,helena.brandt@sandboxaq.com,Product,30 Aug 2026
Omar Saleh,omar.saleh@sandboxaq.com,Data Science,1 Sep 2026
