Name,Email Address,Department,Responded
Tamsin Okafor,tamsin.okafor@sandboxaq.com,Marketing,09/02/2026
 Dana Whitfield, dana.whitfield@sandboxaq.com,Legal,09/03/2026
Roz Beaumont,rosalind.beaumont@sandboxaq.com,Engineering,09/02/2026
Alex Price,alexandra.price@sandboxaq.com,Marketing,09/03/2026
Pauline Vandermeer,pauline.vandermeer@sandboxaq.com,,09/02/2026
Nate Cho,nathaniel.cho@sandboxaq.com,Data Science,09/04/2026
Lena Hoffmann,lena.hoffmann@sandboxaq.com,People,09/02/2026
Dmitri Volkov,dmitri.volkov@sandboxaq.com,Data Science,09/04/2026
Samuel Okoye,samuel.okoye@sandboxaq.com,Engineering,09/03/2026
Rafael Duarte,rafael.duarte@sandboxaq.com,Engineering,09/04/2026
Ravi Chandrasekhar,ravi.chandrasekhar@sandboxaq.com,Legal,09/04/2026
Leo Marchetti,leo.marchetti@sandboxaq.com,People,09/01/2026
Sofia Reyes,sofia.reyes@sandboxquantum.com,Design,09/03/2026
Yuki Tanaka,YUKI.TANAKA@SANDBOXAQ.COM,Product,09/01/2026
Esteban Rios,esteban.rios@sandboxaq.com,,09/03/2026
Izzy Ng,ISABELLE.NG@SANDBOXQUANTUM.COM,Product,09/01/2026
Chiara Moretti,chiara.moretti@sandboxaq.com,Finance,09/01/2026
Pip Ashworth,philippa.ashworth@sandboxaq.com,Product,09/01/2026
Owen Fitzgerald,owen.fitzgerald@sandboxaq.com,Finance,09/02/2026
