full_name,email,team,submitted_at
TEST - DO NOT USE,test@test.com,,2026-01-01
 Marcus Ellison,marcus.ellison@sandboxaq.com,Engineering,2026-08-28
Corey Blackwood ,corey.blackwood@sandboxaq.com,Legal,2026-09-02
Rosalind Beaumont,rosalind.beaumont@sandboxaq.com,Engineering,2026-09-02
Felix Okonkwo,felix.okonkwo@sandboxaq.com,Data Science,2026-09-03
Tobias Lindqvist,tobias.lindqvist@sandboxaq.com,,2026-09-02
,
Priya Nandakumar,PRIYA.NANDAKUMAR@SANDBOXAQ.COM,Support,2026-09-02
Hector De La Cruz,hector.delacruz@sandboxaq.com,,2026-08-29
Sofia Reyes,sofia.reyes@sandboxaq.com,Design,2026-08-29
Philippa Ashworth,philippa.ashworth@sandboxaq.com,Product,2026-09-01
Benjamin Torres,benjamin.torres@sandboxaq.com,Sales,2026-08-30
Nathaniel Cho,nathaniel.cho@sandboxaq.com,Data Science,2026-09-03
Derek Holloway,derek.holloway@sandboxaq.com,Engineering,2026-08-28
Wendy Appiah,wendy.appiah@sandboxaq.com,Marketing,2026-09-04
Grace Oyelaran,grace.oyelaran@sandboxaq.com,Engineering,2026-09-01
Nadia Hassan,nadia.hassan@sandboxaq.com,People,2026-08-31
Dana Whitfield,dana.whitfield@sandboxaq.com,Legal,2026-08-31
Desmond Clarke,desmond.clarke@sandboxaq.com,Engineering,2026-09-01
Ingrid Solberg,ingrid.solberg@sandboxaq.com,Finance,2026-08-28
Isabelle Ng,isabelle.ng@sandboxaq.com,Product,2026-09-01
Mariana Souza,mariana.souza@sandboxaq.com,Product,2026-08-30
